recipe_id,name,ingredients,cooking_steps,tags,cuisine_type,diet_type
qWoyo5REuqRYs6uxTMR6Vm4M,가지 절임,가지 3개  대파 흰 부분 1대  통깨 약간  송송 썬 쪽파 대파로 대체 가능 2큰술  식용유 2컵  간장 67큰술  채수 2컵  비정제 설탕 1큰술  식초 큰술,Step 1 깨끗이 씻은 가지를 길게 반으로 자르고 칼집을 넣은 후 이등분 해주세요. 대파는 68cm 길이로 잘라주세요. Step 2 기름을 달군 후 대파를 넣어 기름에 향이 배도록 튀겨주세요. 가지를 넣어 1015초 정도 튀겨주세요. tip. 기름을 입혀주는 과정이에요. 오래 튀기면 눅눅해지니 재빨리 튀겨내 주세요 Step 3 튀겨낸 가지는 채반에서 한 김 식힌 후 키친타월에서 기름을 빼주세요. 볼에 절임 간장 재료를 넣고 섞어주세요. tip. 채수가 없는경우 쯔유나 맛간장을 비율에 맞게 물에 희석해 사용해 주세요 Step 4 밀폐 용기에 가지와 대파를 넣고 절임 간장을 부어주세요. Step 5 냉장고에서 이틀정도 숙성 후 접시에 덜어 송송 썬 쪽파와 통깨를 뿌려 맛있게 즐겨주세요. tip. 냉장고에서 2주 정도 보관이 가능해요. 차갑게 드시면 더욱더 맛있어요,"['고지방', '고염']",채식,채식
6UJFyVS1j1kdgkgGUkt1Xbar,모둠 콩 샐러드,불린 병아리콩 130g  강낭콩 통조림 100g  불린 렌틸콩 130g  옥수수 통조림 100g  양파 개  케일 생략 가능 5장  토마토 퓌레 2큰술  스리라차 소스 2큰술  올리브오일 4큰술  레몬즙 2큰술  소금 큰술  후춧가루 약간,"Step 1 불린 병아리콩과 렌틸콩을 각각 냄비에 넣고 콩이 잠길 만큼 물을 부어 1015분 정도 삶아 주세요. tip. 병아리콩은 6시간, 렌틸콩은 1시간 정도 불려주세요 tip. 통조림을 사용할 경우 삶는 과정은 생략해 주세요 Step 2 양파는 잘게 썰어주세요. 케일은 먹기 좋게 썰어주세요. 볼에 모둠콩샐러드 양념 재료를 넣고 섞어주세요. Step 3 넓은 볼에 삶은 렌틸콩과 병아리콩, 옥수수, 강낭콩, 다진 양파를 넣고 양념 재료와 케일을 넣어 골고루 섞어 모둠 콩 샐러드를 완성해주세요. tip. 모자란 간은 소금으로 해 주세요 tip. 취향에 따라 케일 대신 고수를 넣어 만들면 색다른 향과 맛을 느낄 수 있어요","['저칼로리', '고염']",채식,채식
QkLvuLvN4PmBkjSmnieanSG5,콩나물 미나리 무침,콩나물 400g  미나리 200g  통깨 약간  다진 마늘 큰술  식초 1큰술  고춧가루 1큰술  올리고당 2큰술  참기름 2큰술  소금 1작은술  후춧가루 약간,Step 1 깨끗이 씻은 미나리의 잎을 잘라내고 줄기 부분은 5cm 길이로 썰어주세요. Step 2 끓는 물에 콩나물을 넣어 2분간 데친 후 찬물에 담가 열기를 식혀 채반에서 물기를 빼주세요. Step 3 미나리를 10초간 데친 후 찬물에 담가 식히고 채반에서 물기를 빼주세요. Step 4 볼에 양념 재료를 넣어 섞어주세요. 미나리와 콩나물에 남은 물기를 손으로 꽉 짜고 볼에 넣은 후 양념 재료를 넣어 버무려주세요. Step 5 완성된 콩나물 미나리 무침을 그릇에 담고 통깨를 뿌려 맛있게 즐겨주세요.,['일반'],채식,채식
QDk9nnKsEerfspNHrRtT9Gpp,김치 비빔 국수,신김치 2컵 | 중면 200g | 오이 1/2개 | 깨 약간 | 고추장 2큰술 | 식초 2큰술 | 올리고당 2큰술 | 간장 1큰술 | 설탕 1큰술 | 맛술 1큰술 | 참기름 1큰술 | 후추 약간,"Step 1 오이는 가늘게 채 썰고 김치는 굵게 다져주세요. Step 2 볼에 다진 김치와 양념재료를 넣고 섞어주세요. Step 3 끓는 물에 중면을 펼쳐 넣고 면끼리 달라붓지 않도록 저어주세요. 물이 끓어오르면 찬물을 23회 반복해서 부어 국수를 삶아주세요. 흐르는 찬물에 중면을 여러 번 씻어 전분기를 없애고 체반에 밭쳐 물기를 빼주세요. Step 4 양념장에 삶은 국수를 넣고 버무려주세요. Step 5 접시에 비빔국수를 담고 삶은 달걀과 오이채, 깨를 올려주세요.","['고단백', '저칼로리']",한식,일반
5b9zwwNjy4zV2qkpRdz5LYwn,깐풍 두부 튀김 덮밥,밥 1공기200g  두부 모  청피망 개  홍피망 개  브로콜리 3개  마늘 2개  대파 대  사천고추 3개  감자전분 1컵튀김용  식용유 3컵  간장 1큰술  식초 1큰술  물 2큰술  청주 1작은술  설탕 1큰술  굴소스 1큰술  고추기름 1과 큰술  후춧가루 약간  참기름 약간,"Step 1 두부는 사방 2cm 크기로 썰고, 청피망, 홍피망, 마늘, 대파는 다져주세요. 브로콜리는 한입 크기로 썰어 준비합니다. Step 2 봉지에 수분을 제거한 두부와 전분 1컵을 담아서 잘 섞어주세요. Step 3 가열된 기름에 두부를 넣어 바삭하게 튀겨주세요. Step 4 분량의 재료를 골고루 섞어서 소스를 만들어 주세요. Step 5 완성 팬에 기름을 두르고 대파, 마늘, 사천고추, 청피망, 홍피망, 브로콜리를 넣고 볶은 후 순서 3의 튀긴 두부와 순서 4의 소스를 넣고 맛있게 조리면 완성이예요. Tip. 두부가 단단해질 때까지 튀겨야 볶을 때 모양이 흐트러지지 않는답니다","['고단백', '저칼로리', '고지방']",중식,일반
K4J2neV6EgtwMJ7xmMPhbGQi,원팬 잡채,당면 100g  표고버섯 3개  느타리버섯 1줌100g  당근 개  양파 12개  부추 반 줌  통깨 약간  물 13컵  식용유 약간  소금 약간  진간장 2큰술  다진 마늘 1작은술  참기름 1큰술  설탕 1작은술  후춧가루 약간,"Step 1 당면은 미지근한 물에 담가 30분 정도 불려주세요. Step 2 당근, 표고, 양파는 채를 썰고, 느타리는 결대로 찢어 주세요. 부추는 5cm 길이로 썰어 주세요. Step 3 볼에 양념 재료를 넣고 섞어주세요. 달군 팬에 기름을 두르고 양파, 당근, 버섯, 소금 약간을 넣고 볶아주세요. Step 4 불린 당면과 물을 넣고 볶다가 양념을 넣어 당면에 양념이 잘 배도록 볶아주세요. Step 5 불을 끄고 부추를 넣어 잘 섞어 주세요. 통깨를 뿌려 맛있게 즐겨주세요.","['저칼로리', '고지방', '고염']",채식,채식
2Z8A4qPyhk5p7BS95id6LyQ1,버섯 오일 피클,만가닥 버섯 1팩 200g  느타리버섯 팩 200g  표고 버섯 2개  마늘 8쪽  페퍼론치노 6개  레몬즙 2큰술  소금 1작은술  후춧가루 약간  엑스트라 버진 올리브유 1컵  월계수잎 12장  타임 생략 가능 약간,"Step 1 냄비에 유리병을 거꾸로 세워 넣고 찬물부터 끓여 열탕 소독한 후 건조시켜주세요. Step 2 만가닥 버섯과 느타리버섯, 표고버섯은 밑동을 제거하고 불순물을 털어내주세요. 표고버섯은 한 입 크기로 썰고, 마늘은 편으로 도톰하게 썰어주세요. 페페론치노는 반으로 잘라주세요. Step 3 달군 팬에 약간의 올리브유를 두르고 마늘과 페페론치노를 넣어 볶다가 향이 올라오면 버섯을 넣어 강불에서 빠르게 볶다가 레몬즙과 소금, 후춧가루를 뿌려 밑간을 해주세요. tip 버섯은 오래 볶으면 수분이 많이 나올 수 있어 강불에서 빠르게 살짝 숨이 죽을 때까지 볶아주세요. Step 4 소독한 유리병에 식힌 버섯을 8부 정도 담고 올리브오일을 부어 병을 채운 후 월계수잎과 타임을 얹고 뚜껑을 닫아 냉장 보관 해주세요. Step 5 버섯 피클은 담근 후 하루 이상 숙성 후 기호에 따라 샐러드 또는 파스타, 빵을 곁들여 맛있게 즐겨주세요.","['저칼로리', '고지방', '고염']",채식,채식
Vj1euGpYDrcTPXLNfdK9giAr,콩나물제육볶음,돼지고기 350g | 콩나물 100g | 깻잎 6장 | 양파 80g | 대파 40g | 청양고추 1개 | 고추장 1큰술 | 고춧가루 2큰술 | 진간장 2큰술 | 다진 마늘 1큰술 | 설탕 2큰술 | 맛술 2큰술 | 후추 1작은술 | 식용유 2큰술,"Step 1 깻잎은 4cm 크기로 썰고 대파와 청양고추는 어슷하게 썰고 양파는 채썰어주세요. Step 2 돼지고기는 5cm 크기로 자르고 콩나물은 손질해주세요. Tip. 돼지고기 부위는 삼겹, 목살, 앞다리살, 뒷다리살 모두 괜찮지만 목살이 담백하고 맛있어요 Step 3 달군 팬에 식용유를 두르고 대파를 넣어 파기름을 내주세요. Step 4 파 향이 올라오면 돼지고기를 넣고 1분 정도 볶아주세요. Step 5 설탕, 맛술, 후추를 넣고 2분 정도 더 볶아주세요. Step 6 돼지고기가 다 익으면 고추장, 고춧가루, 진간장, 마늘을 넣고 1분 정도 볶아주세요. Step 7 콩나물, 깻잎, 양파, 청양고추를 넣고 콩나물의 숨이 죽을 때까지 2분 정도 더 볶아주세요. Step 8 완성 맛있게 볶음 콩나물제육볶음을 그릇에 덜어 맛있게 즐기세요. 기호에 따라 상추나 깻잎 등 쌈채소를 곁들여도 좋아요","['고단백', '저칼로리', '고지방', '고염', '고당']",한식,일반
CdV2mhAVuaLw5EYJ7xwibMEX,마늘종 고추장 볶음,마늘종 250g | 소금 약간 | 식용유 약간 | 참기름 1큰술 | 통깨 약간 | 고추장 ½큰술 | 고춧가루 1작은술 | 간장 1큰술 | 채수 50mL | 올리고당 1큰술,Step 1 마늘종은 4cm 길이로 잘라주세요. 볼에 양념 재료를 넣고 섞어주세요. Step 2 끓는 물에 소금을 넣고 마늘종을 10초 정도 데친 후 찬물에 헹구어 물기를 빼주세요. Step 3 팬에 양념 재료를 넣고 바글바글 끓이다가 데친 마늘종을 넣고 골고루 섞어가며 2분간 볶아주세요. Step 4 불을 끈 후 참기름과 통깨를 뿌려 마무리해 주세요.,"['고지방', '고염']",한식,일반
mthNz57Uk8kp6tv1gWHjjUU2,감자명란볶음,감자 3개 | 명란젓 1개 | 마늘 3톨 | 실파 1대 | 소금 약간 | 올리브오일 약간 | 참기름 1큰술,"Step 1 깨끗이 씻은 감자는 껍질을 벗긴 후 한입크기로 썰어주세요. 마늘은 편으로 썰고, 실파는 송송 썰어주세요..명란젓은 껍질 가운데에 칼집을 내어 알만 따로발라내주세요. Step 2 달군 팬에 오일을 두른 후 마늘과 감자가 노릇해질 때까지 볶아주세요. Step 3 명란을 넣어 볶다가 소금으로 간을 맞춰주세요. 마지막에 참기름을 뿌려 가볍게 볶아주세요. Step 4 실파를 뿌려 맛있게 즐겨주세요.","['고지방', '고염']",한식,일반
11pjyGApKoaFhCrBZULXMzQ5,김표고장아찌,김 20장  표고버섯 200g  간장 340cc  조청 1.5컵  청주물 각 0.5컵  대파 1대  양파 12개  저민 생강 12톨분  저민 마늘 3톨분  실고추 약간  통깨 약간,Step 1 표고버섯은 끓는 물에 살짝 데쳐 건져주세요. Step 2 건져낸 표고버섯은 기둥까지 4등분으로 썰어주세요. Step 3 김은 한 장을 3x4 사이즈로 잘라서 표고버섯과 함께 용기에 담아두세요. Step 4 김 사이사이에 실고추와 통깨를 조금씩 뿌려주세요. Step 5 장아찌 소스 재료를 냄비에 넣고 30분간 중불에서 끓여주세요. Step 6 의 소스를 채에 밭치고 식힌 다음 준비된 김과 표고버섯에 부어주세요. Step 7 3일 뒤에 소스만 따라서 한 번 더 끓인 후 식혀서 다시 부어주세요. Step 8 완성된 요리를 그릇에 담아 마무리해주세요.,"['저칼로리', '고염']",채식,채식
